epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,275.532,1.20669,0.79861,0.96963,2.24464,0.00333185,0.00333185,0.00333185
2,547.839,0.67378,0.79688,0.96983,2.23851,0.00622528,0.00622528,0.00622528
3,824.141,0.75658,0.80867,0.97587,2.2424,0.00867871,0.00867871,0.00867871
4,1098.02,0.72102,0.84008,0.98495,2.1864,0.00802,0.00802,0.00802
5,1370.97,0.58939,0.8656,0.98537,2.15497,0.00736,0.00736,0.00736
6,1645.48,0.51293,0.88627,0.99105,2.13318,0.0067,0.0067,0.0067
7,1928.66,0.46648,0.89286,0.99209,2.12237,0.00604,0.00604,0.00604
8,2205.33,0.42198,0.90159,0.99327,2.10941,0.00538,0.00538,0.00538
9,2482.32,0.39128,0.90749,0.99466,2.10202,0.00472,0.00472,0.00472
10,2758.74,0.3646,0.91241,0.99535,2.09593,0.00406,0.00406,0.00406
11,3033.99,0.3287,0.91505,0.99646,2.08972,0.0034,0.0034,0.0034
12,3308.14,0.29836,0.92129,0.99674,2.0846,0.00274,0.00274,0.00274
